...Gewässer in Deutschland,Rhein,Bodensee,Elbe,Donau,Main
...olympische Sportarten,Schwimmen,Hochsprung*Stabhochsprung,Gewichtheben*Gewicht heben,Weitsprung*Springen,Basketball
...Figuren aus Harry Potter,Harry Potter*Harry*Potter,Hermine*Hermione*Hermine Granger,Ron*Ron Weasley,Dumbledore*Albus Dumbledore*Professor Dumbledore,Voldemort*Lord Voldemort
...Orte an denen Flipflops unangebracht sind,Restaurant,Kirche,Büro,Hochzeit,Baustelle
"...Dinge, die Väter für ihre Kinder kaufen aber damit selber spielen",Lego,Playstation*Xbox*Spielekonsole,Computer*PC*Computerspiele*Videospiele,Eisenbahn*Modelleisenbahn*Modeleisenbahn,Fußball*Ball
"...Dinge, die üblicherweise zerbrechen wenn sie runterfallen",Glas*Gläser*Trinkglas*Bierglas*Weinglas,Teller,Vase*Vasen,Tasse*Tassen,Spiegel
...etwas worüber Leute mit ihren Nachbarn streiten,Lärm*Lautstärke*Musik,Müll*Dreck*Müllentsorgung,Bäume*Laub*Äste,Parkplatz*Parkplätze,Haustiere
"...Sportarten, die nicht durch eine Uhr reguliert werden",Hochsprung*Stabhochsprung,Tennis,Weitsprung,Gewichtheben,Tischtennis
...Orte an dem man mehr Kinder als Erwachsene sieht,Kindergarten*Hort,Schule*Grundschule,Spielplatz,Schwimmbad*Freibad,Zoo*Streichelzoo
...eine berühmte Straße irgendwo auf der Welt,Route 66,Broadway,Champs-Élysées*Champs Elysee*Champs Elysees*Champs-Elysees*Champs-Elysee,Wall Street*Wallstreet,Abbey Road
...etwas das man von seinen Eltern genetisch erben kann,Augenfarbe,Haarfarbe,Krankheiten*Krankheit*Erbkrankheiten,Größe*Körpergröße*Körpergrösse*Länge,Hautfarbe
" ...etwas, deren Geräusch Kinder nachmachen",Hund*Hunde*hunde*Hundebellen,Sirene*Sirenen*Martinshorn*Feuerwehr*Feuerwehrauto*Polizei*Polizeisirene,Kuh*Kühe,Katze*Katzen,Auto*Autos
...Fahrzeuge die Sie an ihrem Geräusch erkennen können,Motorrad*Motorräder*Motorroller*motorrad,Traktor*Trecker,Flugzeug*Flugzeuge,LKW*Lastkraftwagen*Lastwagen,Krankenwagen
...Dinge die Sie häufig benutzen aber ständig kaputt gehen,Kopfhörer,Handy*Smartphone*iPhones,Kugelschreiber*Kuli,Socken,Bleistift*Bleistifte
"...Dinge, die man Stars für ein Autogramm reicht",Foto*Photo*Fotos*Photos,T-Shirt*T-shirt*T-Shirts*Shirt*Shirts*Tshirt,Stift,Buch*Bücher,Autogrammkarte*Autogrammkarten*Autogrammheft
"...Dinge, die Sie gerne schneller tun könnten",Laufen*laufen,Putzen*putzen,Lesen*lesen,Lernen*lernen,Arbeiten*arbeiten
...Orte die sehr romantisch sein können,Strand*Meer*Strände,Paris,Restaurant,Berggipfel*Berg*Berge*Berghütten*Berggipfel*Gebirge,Wald
...etwas das an jedem Kindergeburtstag passiert,Kuchen essen*Kuchen,Kerzen auspusten*Kerzen ausblasen,Geschenke auspacken*Geschenke,Singen*Happy Birthday singen,Spiele*Spiele spielen
...etwas das am schwersten ist wenn man es zum ersten mal versucht,Fahrrad fahren*Fahrradfahren*Radfahren,Auto fahren*Autofahren,Schwimmen*schwimmen,Sex,Laufen*Gehen
...Essen welches man gerne isst und danach bereut,Schokolade,Chips,Burger*Hamburger,Pizza,Torte*Kuchen
"...Dinge, die man leicht vorwärts aber schwer rückwärts tun kann",Laufen*laufen*Rennen*rennen*gehen*Gehen,Fahrrad fahren*Fahrradfahren*Radfahren,schreiben*Schreiben,Sprechen*sprechen*reden*Reden,Lesen*lesen
...Anlässe zu denen Jugendliche ihre feinsten Sachen anziehen ,Abiball*Abi*Abi-Entlassung*Abi Feier*Abifeier*Abschlussball*Abschlussfeier,Hochzeit,Konfirmation,Party*Ball*Disco*Partys*Clubbesuch*Nachtclubs*Disko,Date*Dates*Erstes Date*erstes Date*Das erste Date
...Orte die einen Informationsstand haben,Bahnhof*Bahnhöfe*Hauptbahnhof,Messen*Messe,Museum*Museen,Flughafen*Flughäfen,Freizeitpark*Freizeitparks
