participantID,sessionID,round_number,guess,correct
9z0h3em7,zeddj93e,1,sd,False
9z0h3em7,zeddj93e,1,fs,False
9z0h3em7,zeddj93e,1,f,False
9z0h3em7,zeddj93e,1,sd,False
9z0h3em7,zeddj93e,1,fs,False
9z0h3em7,zeddj93e,1,df,False
9z0h3em7,zeddj93e,1,sdf,False
9z0h3em7,zeddj93e,1,s,False
9z0h3em7,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,fsf,False
l3sa1ctz,zeddj93e,1,sdf,False
l3sa1ctz,zeddj93e,1,sd,False
l3sa1ctz,zeddj93e,1,fs,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,sdf,False
l3sa1ctz,zeddj93e,1,s,False
l3sa1ctz,zeddj93e,1,fs,False
l3sa1ctz,zeddj93e,1,f,False
l3sa1ctz,zeddj93e,1,sd,False
l3sa1ctz,zeddj93e,1,fsf,False
l3sa1ctz,zeddj93e,1,sd,False
l3sa1ctz,zeddj93e,1,fs,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,s,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,sd,False
l3sa1ctz,zeddj93e,1,fs,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,s,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,sdf,False
l3sa1ctz,zeddj93e,1,s,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,s,False
l3sa1ctz,zeddj93e,1,fs,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,sd,False
l3sa1ctz,zeddj93e,1,f,False
l3sa1ctz,zeddj93e,1,sd,False
l3sa1ctz,zeddj93e,1,fs,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,sd,False
l3sa1ctz,zeddj93e,1,f,False
l3sa1ctz,zeddj93e,1,sf,False
l3sa1ctz,zeddj93e,1,s,False
l3sa1ctz,zeddj93e,1,f,False
l3sa1ctz,zeddj93e,1,sdf,False
l3sa1ctz,zeddj93e,1,s,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,sd,False
l3sa1ctz,zeddj93e,1,fs,False
l3sa1ctz,zeddj93e,1,df,False
l3sa1ctz,zeddj93e,1,sdf,False
l3sa1ctz,zeddj93e,2,asasd,False
l3sa1ctz,zeddj93e,2,asd,False
l3sa1ctz,zeddj93e,2,asd,False
l3sa1ctz,zeddj93e,2,asd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,asd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,d,False
l3sa1ctz,zeddj93e,2,asd,False
l3sa1ctz,zeddj93e,2,a,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,s,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,asd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,asd,False
l3sa1ctz,zeddj93e,2,a,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,asd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
l3sa1ctz,zeddj93e,2,as,False
l3sa1ctz,zeddj93e,2,da,False
l3sa1ctz,zeddj93e,2,sd,False
u9w0lxej,zeddj93e,2,Pistole,True
u9w0lxej,zeddj93e,2,Feuerwerk,True
u9w0lxej,zeddj93e,2,asd,False
b5gx4do0,zeddj93e,3,gemüse,False
b5gx4do0,zeddj93e,3,Suppe,True
b5gx4do0,zeddj93e,3,asd,False
b5gx4do0,zeddj93e,3,asd,False
b5gx4do0,zeddj93e,3,a,False
b5gx4do0,zeddj93e,3,fds,False
b5gx4do0,zeddj93e,3,sd,False
b5gx4do0,zeddj93e,3,fds,False
b5gx4do0,zeddj93e,3,fds,False
b5gx4do0,zeddj93e,3,dfs,False
b5gx4do0,zeddj93e,3,dfs,False
b5gx4do0,zeddj93e,3,dfs,False
b5gx4do0,zeddj93e,3,dfs,False
b5gx4do0,zeddj93e,3,df,False
b5gx4do0,zeddj93e,3,sds,False
b5gx4do0,zeddj93e,3,f,False
u9w0lxej,zeddj93e,3,Feuerwehrmann,True
u9w0lxej,zeddj93e,3,bar,False
90wg63hd,nz4j6gqn,1,Erdbeer,True
90wg63hd,nz4j6gqn,1,Schokolade,True
90wg63hd,nz4j6gqn,1,Zitrone,True
90wg63hd,nz4j6gqn,1,Stracciatella,True
90wg63hd,nz4j6gqn,1,pillen,False
90wg63hd,nz4j6gqn,1,Langeweile,True
90wg63hd,nz4j6gqn,1,Fernsehen,True
90wg63hd,nz4j6gqn,1,Musik,True
90wg63hd,nz4j6gqn,1,buch,False
u1qo9obn,nz4j6gqn,1,Schlaftabletten,True
u1qo9obn,nz4j6gqn,2,pavian,False
pc4yh2vl,iybl2m5p,1,Schokolade,True
pc4yh2vl,iybl2m5p,1,Vanille,True
pc4yh2vl,iybl2m5p,1,Erdbeer,True
pc4yh2vl,iybl2m5p,1,strac,False
pc4yh2vl,iybl2m5p,1,Stracciatella,True
ncvtqf6v,iybl2m5p,1,Schlaftabletten,True
ncvtqf6v,iybl2m5p,1,Fernsehen,True
ncvtqf6v,iybl2m5p,1,Musik,True
ncvtqf6v,iybl2m5p,1,Langeweile,True
ncvtqf6v,iybl2m5p,2,pavian,False
ncvtqf6v,iybl2m5p,2,Flamingo,True
ncvtqf6v,iybl2m5p,2,Papagei,True
ncvtqf6v,iybl2m5p,2,Chamäleon,True
ncvtqf6v,iybl2m5p,2,strauss,False
bkkedn53,iybl2m5p,2,Feuerwerk,True
bkkedn53,iybl2m5p,2,Pistole,True
bkkedn53,iybl2m5p,2,knallgas,False
bkkedn53,iybl2m5p,2,explosion,False
bkkedn53,iybl2m5p,2,sprengstoff,False
pc4yh2vl,iybl2m5p,3,Suppe,True
pc4yh2vl,iybl2m5p,3,bole,False
pc4yh2vl,iybl2m5p,3,brei,False
pc4yh2vl,iybl2m5p,3,hänchchen,False
pc4yh2vl,iybl2m5p,3,fleisch,False
pc4yh2vl,iybl2m5p,3,Feuerwehrmann,True
pc4yh2vl,iybl2m5p,3,Putzfrau,True
pc4yh2vl,iybl2m5p,3,Müllmann,True
pc4yh2vl,iybl2m5p,3,Hausfrau,True
pc4yh2vl,iybl2m5p,3,Kaufmann,True
fd8fc4cl,iybl2m5p,4,Cola,True
fd8fc4cl,iybl2m5p,4,Bier,True
fd8fc4cl,iybl2m5p,4,Fanta,True
fd8fc4cl,iybl2m5p,4,Tee,True
fd8fc4cl,iybl2m5p,4,sprite,False
fd8fc4cl,iybl2m5p,4,kaba,False
fd8fc4cl,iybl2m5p,4,kaffee,False
fd8fc4cl,iybl2m5p,4,wasser,False
bkkedn53,iybl2m5p,4,Bodensee,True
bkkedn53,iybl2m5p,4,Rhein,True
